0,0,1,1,5,5,3,3,1,0,3,2,4,1,5
1,3,0,4,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
2,3,1,11,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
3,4,0,7,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
4,4,0,9,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
5,4,0,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
6,5,0,8,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
7,5,0,8,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
8,6,0,9,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
9,7,0,10,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
10,8,0,11,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
11,9,0,12,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
12,10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
