0,0,1,16,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
1,0,1,4,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
2,0,1,4,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
3,1,1,5,6,6,7,7,5,19,0,3,2,4,1,5,3
4,1,0,21,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
5,3,0,12,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
6,4,0,10,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
7,4,0,8,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
8,5,0,11,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
9,5,1,17,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
10,5,0,11,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
11,6,0,14,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
12,6,0,14,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
13,6,1,16,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
14,7,0,15,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
15,8,0,17,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
16,9,0,19,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
17,9,0,22,18,18,-1,-1,-1,-1,0,0,1,-1,-1,-1,-1
18,10,0,20,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
19,10,0,20,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
20,11,0,21,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
21,12,0,23,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1
22,13,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,13,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
